sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-09-22-0,2025-09-22T12:48:00,28,3,2,ecommerce
2025-09-22-1,2025-09-22T02:55:00,50,1,1,retail
2025-09-22-2,2025-09-22T09:08:00,10,1,4,retail
2025-09-22-3,2025-09-22T13:17:00,21,2,3,ecommerce
2025-09-22-4,2025-09-22T12:17:00,49,3,3,retail
2025-09-22-5,2025-09-22T04:31:00,6,3,5,ecommerce
2025-09-22-6,2025-09-22T03:31:00,2,5,1,ecommerce
2025-09-22-7,2025-09-22T18:55:00,6,1,4,retail
2025-09-22-8,2025-09-22T09:57:00,27,1,4,retail
2025-09-22-9,2025-09-22T19:05:00,16,1,4,retail
2025-09-22-10,2025-09-22T04:44:00,18,2,3,ecommerce
2025-09-22-11,2025-09-22T16:49:00,10,4,4,ecommerce
2025-09-22-12,2025-09-22T16:31:00,5,3,3,ecommerce
2025-09-22-13,2025-09-22T08:25:00,47,1,2,ecommerce
2025-09-22-14,2025-09-22T03:39:00,9,1,3,retail
2025-09-22-15,2025-09-22T13:30:00,22,4,3,ecommerce
2025-09-22-16,2025-09-22T11:25:00,28,1,5,retail
2025-09-22-17,2025-09-22T10:15:00,21,1,4,ecommerce
2025-09-22-18,2025-09-22T06:03:00,26,1,3,ecommerce
2025-09-22-19,2025-09-22T23:43:00,41,1,2,ecommerce
2025-09-22-20,2025-09-22T12:50:00,18,3,4,ecommerce
2025-09-22-21,2025-09-22T03:53:00,37,5,2,retail
2025-09-22-22,2025-09-22T15:45:00,46,9,2,ecommerce
2025-09-22-23,2025-09-22T09:56:00,45,6,4,ecommerce
2025-09-22-24,2025-09-22T04:45:00,41,4,3,retail
2025-09-22-25,2025-09-22T08:37:00,43,4,4,retail
2025-09-22-26,2025-09-22T15:19:00,39,4,4,ecommerce
2025-09-22-27,2025-09-22T18:14:00,33,6,4,retail
2025-09-22-28,2025-09-22T12:16:00,45,1,5,retail
2025-09-22-29,2025-09-22T03:43:00,50,3,2,retail
2025-09-22-30,2025-09-22T19:13:00,42,5,4,ecommerce
2025-09-22-31,2025-09-22T14:41:00,7,4,5,retail
2025-09-22-32,2025-09-22T15:12:00,24,3,4,ecommerce
2025-09-22-33,2025-09-22T23:11:00,38,2,1,ecommerce
2025-09-22-34,2025-09-22T03:34:00,19,1,4,retail
2025-09-22-35,2025-09-22T03:57:00,47,4,4,retail
2025-09-22-36,2025-09-22T17:47:00,31,4,3,ecommerce
2025-09-22-37,2025-09-22T03:19:00,29,2,1,ecommerce
2025-09-22-38,2025-09-22T01:31:00,46,1,1,retail
2025-09-22-39,2025-09-22T11:42:00,42,5,2,retail
2025-09-22-40,2025-09-22T18:50:00,11,5,3,ecommerce
2025-09-22-41,2025-09-22T15:46:00,15,3,2,ecommerce
2025-09-22-42,2025-09-22T13:30:00,2,1,5,retail
2025-09-22-43,2025-09-22T15:20:00,38,2,2,retail
2025-09-22-44,2025-09-22T09:30:00,49,3,1,retail
2025-09-22-45,2025-09-22T18:19:00,12,2,1,ecommerce
2025-09-22-46,2025-09-22T22:53:00,32,3,5,ecommerce
2025-09-22-47,2025-09-22T20:22:00,25,1,3,ecommerce
2025-09-22-48,2025-09-22T15:37:00,40,1,2,ecommerce
2025-09-22-49,2025-09-22T20:58:00,38,3,1,retail
2025-09-22-50,2025-09-22T10:25:00,8,3,2,ecommerce
2025-09-22-51,2025-09-22T23:40:00,10,1,2,ecommerce
2025-09-22-52,2025-09-22T14:26:00,12,2,4,retail
2025-09-22-53,2025-09-22T18:56:00,11,1,3,ecommerce
2025-09-22-54,2025-09-22T21:08:00,4,3,3,retail
2025-09-22-55,2025-09-22T16:32:00,9,3,5,ecommerce
2025-09-22-56,2025-09-22T13:57:00,44,4,4,ecommerce
2025-09-22-57,2025-09-22T15:09:00,32,4,2,ecommerce
2025-09-22-58,2025-09-22T01:06:00,18,5,2,ecommerce
2025-09-22-59,2025-09-22T05:44:00,50,1,4,retail
2025-09-22-60,2025-09-22T19:32:00,8,3,3,ecommerce
2025-09-22-61,2025-09-22T18:30:00,49,6,5,retail
2025-09-22-62,2025-09-22T14:30:00,7,3,2,ecommerce
2025-09-22-63,2025-09-22T01:06:00,29,2,1,ecommerce
2025-09-22-64,2025-09-22T04:00:00,50,6,2,retail
2025-09-22-65,2025-09-22T20:04:00,45,1,4,retail
2025-09-22-66,2025-09-22T21:01:00,9,5,2,retail
